Test,MarginalBenefit
NonOverlappingTemplate147,0.0007200000000000539
NonOverlappingTemplate42,0.0007200000000000539
NonOverlappingTemplate53,0.0007200000000000539
NonOverlappingTemplate68,0.0007200000000000539
NonOverlappingTemplate78,0.0007200000000000539
NonOverlappingTemplate111,0.0007099999999999884
NonOverlappingTemplate36,0.0007099999999999884
NonOverlappingTemplate145,0.0007099999999999884
NonOverlappingTemplate73,0.0007000000000000339
NonOverlappingTemplate135,0.0006900000000000794
NonOverlappingTemplate140,0.0006900000000000794
NonOverlappingTemplate33,0.0006900000000000794
NonOverlappingTemplate133,0.0006900000000000794
NonOverlappingTemplate4,0.0006800000000000139
NonOverlappingTemplate58,0.0006800000000000139
NonOverlappingTemplate72,0.0006800000000000139
NonOverlappingTemplate30,0.0006800000000000139
NonOverlappingTemplate125,0.0006800000000000139
NonOverlappingTemplate76,0.0006700000000000594
NonOverlappingTemplate3,0.0006700000000000594
NonOverlappingTemplate143,0.0006700000000000594
NonOverlappingTemplate12,0.0006700000000000594
NonOverlappingTemplate34,0.0006700000000000594
NonOverlappingTemplate32,0.0006599999999999939
NonOverlappingTemplate109,0.0006599999999999939
NonOverlappingTemplate8,0.0006599999999999939
NonOverlappingTemplate52,0.0006500000000000394
RandomExcursions6,0.0006300000000000194
RandomExcursions8,0.0006300000000000194
RandomExcursions7,0.0006099999999999994
NonOverlappingTemplate13,0.0006099999999999994
NonOverlappingTemplate104,0.0006099999999999994
NonOverlappingTemplate141,0.0005800000000000249
RandomExcursions3,0.0005800000000000249
RandomExcursions5,0.0005700000000000705
NonOverlappingTemplate119,0.0005500000000000504
NonOverlappingTemplate128,0.0004899999999999904
RandomExcursions4,0.00042000000000008697
RandomExcursionsVariant9,0.00031000000000003247
RandomExcursionsVariant10,0.0002500000000000835
CumulativeSums2,0.00017000000000000348
RandomExcursionsVariant11,0.000160000000000049
RandomExcursionsVariant1,0.0001500000000000945
RandomExcursionsVariant6,0.000140000000000029
RandomExcursionsVariant12,0.00012000000000000899
RandomExcursionsVariant13,9.999999999998899e-05
RandomExcursionsVariant8,9.00000000000345e-05
RandomExcursionsVariant7,8.000000000008001e-05
RandomExcursionsVariant17,7.00000000000145e-05
RandomExcursionsVariant18,7.00000000000145e-05
RandomExcursionsVariant3,7.00000000000145e-05
RandomExcursionsVariant5,7.00000000000145e-05
RandomExcursionsVariant4,6.0000000000060005e-05
CumulativeSums1,6.0000000000060005e-05
RandomExcursionsVariant15,6.0000000000060005e-05
RandomExcursionsVariant2,4.999999999999449e-05
RandomExcursionsVariant14,4.0000000000040004e-05
RandomExcursionsVariant16,2.0000000000020002e-05
NonOverlappingTemplate74,1.0000000000065512e-05
Frequency,1.0000000000065512e-05
NonOverlappingTemplate75,0.0
NonOverlappingTemplate1,0.0
NonOverlappingTemplate148,0.0
