Test,MarginalBenefit
FFT,0.0014699999999999713
NonOverlappingTemplate96,0.0014199999999999768
NonOverlappingTemplate26,0.0013799999999999368
Universal,0.0013299999999999423
NonOverlappingTemplate69,0.0013199999999999878
NonOverlappingTemplate67,0.0013199999999999878
NonOverlappingTemplate80,0.0013099999999999223
NonOverlappingTemplate101,0.0012699999999999934
NonOverlappingTemplate118,0.0012399999999999078
NonOverlappingTemplate32,0.0012399999999999078
NonOverlappingTemplate133,0.0012399999999999078
NonOverlappingTemplate50,0.0012399999999999078
NonOverlappingTemplate135,0.0012299999999999534
NonOverlappingTemplate46,0.0012299999999999534
NonOverlappingTemplate7,0.0012299999999999534
RandomExcursions1,0.0012199999999999989
OverlappingTemplate,0.0012199999999999989
NonOverlappingTemplate83,0.0012199999999999989
NonOverlappingTemplate107,0.0012199999999999989
LinearComplexity,0.0012099999999999334
NonOverlappingTemplate145,0.0011999999999999789
NonOverlappingTemplate106,0.0011999999999999789
NonOverlappingTemplate92,0.0011999999999999789
NonOverlappingTemplate55,0.0011999999999999789
NonOverlappingTemplate88,0.0011999999999999789
NonOverlappingTemplate40,0.0011899999999999133
NonOverlappingTemplate130,0.0011899999999999133
NonOverlappingTemplate82,0.0011899999999999133
NonOverlappingTemplate122,0.0011799999999999589
NonOverlappingTemplate23,0.0011799999999999589
NonOverlappingTemplate48,0.0011799999999999589
NonOverlappingTemplate108,0.0011799999999999589
NonOverlappingTemplate131,0.0011700000000000044
NonOverlappingTemplate114,0.0011700000000000044
BlockFrequency,0.0011700000000000044
NonOverlappingTemplate31,0.0011700000000000044
NonOverlappingTemplate126,0.0011599999999999389
NonOverlappingTemplate121,0.0011599999999999389
NonOverlappingTemplate89,0.0011599999999999389
NonOverlappingTemplate27,0.0011599999999999389
NonOverlappingTemplate24,0.0011499999999999844
NonOverlappingTemplate120,0.0011499999999999844
NonOverlappingTemplate146,0.0011499999999999844
NonOverlappingTemplate71,0.0011499999999999844
NonOverlappingTemplate66,0.0011499999999999844
NonOverlappingTemplate124,0.0011499999999999844
NonOverlappingTemplate117,0.0011399999999999189
NonOverlappingTemplate60,0.0011399999999999189
NonOverlappingTemplate94,0.0011399999999999189
NonOverlappingTemplate45,0.0011399999999999189
NonOverlappingTemplate85,0.0011299999999999644
NonOverlappingTemplate22,0.0011299999999999644
NonOverlappingTemplate62,0.0011299999999999644
NonOverlappingTemplate134,0.0011299999999999644
NonOverlappingTemplate57,0.0011299999999999644
NonOverlappingTemplate98,0.0011299999999999644
NonOverlappingTemplate36,0.0011299999999999644
NonOverlappingTemplate56,0.0011299999999999644
RandomExcursions8,0.0011299999999999644
NonOverlappingTemplate61,0.0011199999999998989
NonOverlappingTemplate37,0.0011199999999998989
NonOverlappingTemplate113,0.0011199999999998989
NonOverlappingTemplate44,0.0011199999999998989
NonOverlappingTemplate18,0.0011199999999998989
NonOverlappingTemplate34,0.0011199999999998989
NonOverlappingTemplate8,0.0011199999999998989
NonOverlappingTemplate51,0.0011199999999998989
NonOverlappingTemplate84,0.0011199999999998989
NonOverlappingTemplate115,0.0011199999999998989
NonOverlappingTemplate13,0.0011199999999998989
Rank,0.0011099999999999444
LongestRun,0.0011099999999999444
NonOverlappingTemplate87,0.0011099999999999444
NonOverlappingTemplate105,0.0011099999999999444
NonOverlappingTemplate58,0.0011099999999999444
NonOverlappingTemplate138,0.0010999999999999899
NonOverlappingTemplate59,0.0010999999999999899
NonOverlappingTemplate73,0.0010999999999999899
NonOverlappingTemplate119,0.0010999999999999899
NonOverlappingTemplate20,0.0010899999999999244
NonOverlappingTemplate9,0.0010899999999999244
ApproximateEntropy,0.0010899999999999244
NonOverlappingTemplate54,0.0010899999999999244
NonOverlappingTemplate70,0.0010899999999999244
NonOverlappingTemplate53,0.0010899999999999244
NonOverlappingTemplate93,0.0010799999999999699
RandomExcursions2,0.0010699999999999044
NonOverlappingTemplate35,0.0010699999999999044
NonOverlappingTemplate95,0.0010699999999999044
NonOverlappingTemplate42,0.0010599999999999499
NonOverlappingTemplate11,0.0010599999999999499
NonOverlappingTemplate129,0.0010599999999999499
NonOverlappingTemplate147,0.0010599999999999499
NonOverlappingTemplate97,0.0010499999999999954
NonOverlappingTemplate30,0.0010499999999999954
NonOverlappingTemplate14,0.0010499999999999954
NonOverlappingTemplate100,0.0010499999999999954
NonOverlappingTemplate79,0.0010399999999999299
NonOverlappingTemplate16,0.0010399999999999299
NonOverlappingTemplate102,0.0010299999999999754
NonOverlappingTemplate141,0.0010299999999999754
NonOverlappingTemplate25,0.0010199999999999099
NonOverlappingTemplate103,0.0010199999999999099
NonOverlappingTemplate91,0.0010099999999999554
NonOverlappingTemplate137,0.0010099999999999554
NonOverlappingTemplate139,0.0010099999999999554
NonOverlappingTemplate65,0.0010099999999999554
NonOverlappingTemplate143,0.0010099999999999554
NonOverlappingTemplate78,0.0010000000000000009
Runs,0.0010000000000000009
NonOverlappingTemplate144,0.0010000000000000009
NonOverlappingTemplate49,0.0010000000000000009
NonOverlappingTemplate112,0.0010000000000000009
NonOverlappingTemplate109,0.0009899999999999354
NonOverlappingTemplate123,0.0009899999999999354
NonOverlappingTemplate116,0.0009899999999999354
NonOverlappingTemplate39,0.0009899999999999354
NonOverlappingTemplate128,0.0009799999999999809
NonOverlappingTemplate63,0.0009799999999999809
NonOverlappingTemplate43,0.0009699999999999154
NonOverlappingTemplate12,0.0009699999999999154
NonOverlappingTemplate90,0.0009699999999999154
NonOverlappingTemplate76,0.0009699999999999154
NonOverlappingTemplate19,0.0009699999999999154
